PLAYER_NAME,Game_ID,GAME_DATE,MATCHUP,MIN,PTS,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,FG3A,FG3_PCT,REB,PLUS_MINUS,HOME_AWAY,VERSUS_SPECIFIC_TEAM,opposing_team_pts
Luka Doncic,0022300238,2023-11-22,DAL @ LAL,39,30,10,26,0.385,7,8,0.875,3,12,0.25,12,-11,1,1,101
Luka Doncic,0022300212,2023-11-19,DAL vs. SAC,32,25,7,19,0.368,8,10,0.8,3,7,0.429,10,-14,0,1,129
Luka Doncic,0022300205,2023-11-18,DAL @ MIL,35,35,15,26,0.577,1,4,0.25,4,9,0.444,9,-17,1,1,132
Luka Doncic,0022300192,2023-11-15,DAL @ WAS,32,26,7,18,0.389,8,12,0.667,4,11,0.364,7,12,1,1,117
Luka Doncic,0022300022,2023-11-14,DAL @ NOP,26,16,5,16,0.313,3,5,0.6,3,5,0.6,2,-26,1,1,131
Luka Doncic,0022300183,2023-11-12,DAL @ NOP,28,30,11,18,0.611,4,5,0.8,4,9,0.444,4,14,1,1,124
Luka Doncic,0022300014,2023-11-10,DAL vs. LAC,32,44,17,21,0.81,4,4,1.0,6,9,0.667,6,32,0,1,126
Luka Doncic,0022300168,2023-11-08,DAL vs. TOR,38,31,11,26,0.423,7,10,0.7,2,10,0.2,7,-7,0,1,127
Luka Doncic,0022300147,2023-11-06,DAL @ ORL,35,29,9,17,0.529,6,6,1.0,5,10,0.5,3,7,1,1,102
Luka Doncic,0022300143,2023-11-05,DAL vs. CHA,36,23,8,19,0.421,6,7,0.857,1,9,0.111,12,3,0,1,118
Luka Doncic,0022300006,2023-11-03,DAL @ DEN,38,34,11,24,0.458,6,7,0.857,6,11,0.545,10,-4,1,1,125
Luka Doncic,0022300124,2023-11-01,DAL vs. CHI,40,18,5,16,0.313,7,9,0.778,1,8,0.125,7,11,0,1,105
Luka Doncic,0022300106,2023-10-30,DAL @ MEM,40,35,11,22,0.5,7,10,0.7,6,12,0.5,12,6,1,1,110
Luka Doncic,0022300084,2023-10-27,DAL vs. BKN,36,49,16,25,0.64,8,10,0.8,9,14,0.643,10,9,0,1,120
